Model,CatBoost,LightGBM,RandomForest,SVR,TRA,XGBoost
CatBoost,1.0,0.2566428089417375,0.38105670548162807,0.34272976518256415,0.1690149690893141,0.3386546112294845
LightGBM,0.2566428089417375,1.0,0.7402894242787234,0.3572789397977312,0.12957340872917628,0.3760464756543911
RandomForest,0.38105670548162807,0.7402894242787234,1.0,0.39553186170858223,0.34187507427762487,0.46450737814005716
SVR,0.34272976518256415,0.3572789397977312,0.39553186170858223,1.0,0.40734333847106774,0.34797318871198635
TRA,0.1690149690893141,0.12957340872917628,0.34187507427762487,0.40734333847106774,1.0,0.5536528683720945
XGBoost,0.3386546112294845,0.3760464756543911,0.46450737814005716,0.34797318871198635,0.5536528683720945,1.0
